city,Latitude,Longitude,day,date,tem_day,feelslike_day,pressure,humidity,wind_speed,weather_main,weather_desc,prob_rain,clouds,uvi
Montauban,44.0175835,1.3549991,7,06/02/2022,8.91,7.81,1035,59,2.38,Clear,clear sky,0.0,0,2.0
Biarritz,43.471143749999996,-1.552726590666314,0,30/01/2022,9.04,7.23,1032,72,3.22,Clear,clear sky,0.0,0,1.85
Biarritz,43.471143749999996,-1.552726590666314,1,31/01/2022,11.31,10.59,1032,80,6.54,Rain,light rain,0.91,88,1.26
Biarritz,43.471143749999996,-1.552726590666314,2,01/02/2022,8.07,8.07,1035,74,5.33,Rain,light rain,0.51,57,1.45
Biarritz,43.471143749999996,-1.552726590666314,3,02/02/2022,12.25,11.44,1029,73,3.98,Clouds,scattered clouds,0.0,47,1.95
Biarritz,43.471143749999996,-1.552726590666314,4,03/02/2022,12.19,11.53,1023,79,5.5,Clouds,overcast clouds,0.0,98,1.88
Biarritz,43.471143749999996,-1.552726590666314,5,04/02/2022,11.43,10.85,1026,85,4.01,Rain,light rain,0.44,100,2.0
Biarritz,43.471143749999996,-1.552726590666314,6,05/02/2022,9.08,9.08,1031,79,2.88,Rain,light rain,0.29,89,2.0
Biarritz,43.471143749999996,-1.552726590666314,7,06/02/2022,9.73,8.56,1035,58,3.08,Clear,clear sky,0.0,0,2.0
Bayonne,43.4933379,-1.475099,0,30/01/2022,9.5,7.85,1033,72,3.11,Clear,clear sky,0.0,0,1.88
Bayonne,43.4933379,-1.475099,1,31/01/2022,11.77,11.07,1032,79,5.92,Rain,light rain,0.9,87,1.25
Bayonne,43.4933379,-1.475099,2,01/02/2022,8.55,8.55,1035,73,4.33,Rain,light rain,0.48,55,1.7
Bayonne,43.4933379,-1.475099,3,02/02/2022,12.9,12.1,1029,71,3.93,Clouds,scattered clouds,0.0,37,2.07
Bayonne,43.4933379,-1.475099,4,03/02/2022,12.46,11.82,1023,79,5.63,Clouds,overcast clouds,0.0,97,1.88
Bayonne,43.4933379,-1.475099,5,04/02/2022,11.74,11.19,1026,85,3.83,Rain,light rain,0.43,100,2.0
Bayonne,43.4933379,-1.475099,6,05/02/2022,9.72,9.72,1031,79,2.82,Rain,light rain,0.27,87,2.0
Bayonne,43.4933379,-1.475099,7,06/02/2022,10.31,8.86,1035,56,2.86,Clear,clear sky,0.0,0,2.0
La Rochelle,46.1591126,-1.1520434,0,30/01/2022,8.67,8.07,1034,88,4.87,Clouds,overcast clouds,0.0,100,0.67
La Rochelle,46.1591126,-1.1520434,1,31/01/2022,9.07,5.8,1031,72,6.98,Rain,light rain,0.2,64,1.42
La Rochelle,46.1591126,-1.1520434,2,01/02/2022,9.55,6.42,1031,86,6.89,Clouds,broken clouds,0.0,72,1.55
La Rochelle,46.1591126,-1.1520434,3,02/02/2022,10.32,9.34,1029,74,4.52,Clouds,broken clouds,0.0,75,0.72
La Rochelle,46.1591126,-1.1520434,4,03/02/2022,9.21,7.09,1021,83,4.59,Rain,light rain,0.2,81,1.45
La Rochelle,46.1591126,-1.1520434,5,04/02/2022,9.35,6.48,1024,90,5.82,Rain,light rain,0.25,67,2.0
La Rochelle,46.1591126,-1.1520434,6,05/02/2022,7.5,6.55,1033,70,2.6,Clear,clear sky,0.0,6,2.0
La Rochelle,46.1591126,-1.1520434,7,06/02/2022,9.18,7.01,1035,78,3.96,Clouds,broken clouds,0.0,72,2.0
